	MSA	Conserved	Frac_Non_Gaps	Entropy	Num_Alignmentss	SOP_BLOSUM62	SOP_PAM250
0	rsmG	1.3812154696132597	60.46423092647395	-359.71463411243906	1473	318965426	374738416
1	ruvB	11.936936936936938	76.56573522675218	-300.7110443634863	1475	1192371352	1224629848
2	infB	2.963719979560552	45.032878571922886	-1283.2834903936784	1462	1764493111	1760322294
3	ychF	10.050251256281408	91.53785878545268	-280.1785531539736	1475	1308064739	1297844742
4	topA	3.6666666666666665	54.61244239631336	-1115.973477391114	1302	1069405938	1171729080
5	recG	4.0570999248685204	52.25569729079011	-916.5302195684012	1393	1790012613	1877634686
6	rbfA	0.39215686274509803	51.11083119900351	-208.80972848286157	1401	201224831	228829799
7	rpmA	9.210526315789473	58.22725003565825	-72.55632263835042	1476	320130408	301461129
8	rpsI	10.476190476190476	64.07339390424642	-126.87589286889414	1478	442543306	450910805
9	rpsB	6.299212598425196	66.20363661086331	-254.2021054293382	1467	768595739	778801475
10	polA	3.619909502262444	59.24980861339023	-1189.3403398306148	1465	2395210681	2517741289
11	ybeY	0.4484304932735426	36.400043838418895	-278.59741740978205	1473	321015185	340415357
12	mfd	3.5035035035035036	58.06991564567322	-1623.5639390151537	1452	2841162716	3126832126
13	rsmA	4.88997555012225	68.07890265633418	-399.47358095343765	1475	535283676	593551222
14	nth	3.153153153153153	49.29711161054444	-255.00325035557915	1407	668912433	684803446
15	purH	6.227106227106227	63.89744949243905	-531.2100015442568	1437	1653883459	1618824260
16	uvrC	1.7064846416382253	42.3404949737966	-876.91367818394	1464	1861701668	2023654010
17	rimP	0.23696682464454977	38.307710091318924	-266.99697905935744	1435	355296716	390291596
18	der	3.0018761726078798	44.3513012773858	-602.7985478089687	1441	1371550775	1398769818
19	recO	0.21691973969631237	53.07560121862303	-473.47639325200976	1434	190959282	262808561
20	smpB	6.25	82.32211647405393	-178.3571338883257	1471	410917454	434509805
21	ftsY	2.3255813953488373	28.912088183814006	-809.4442313538311	1463	732266896	769362478
22	nusA	2.3498694516971277	59.740088588875444	-624.7174083672578	1476	773385907	821845897
23	recR	2.413793103448276	69.00903008468629	-227.3827268982241	1474	615089615	648053775
24	grpE	0.9237875288683602	44.9810467643075	-338.136649869074	1422	278131059	310126493
25	prmC	1.0854816824966078	38.65311546978452	-471.64718721447184	1462	768994661	802456172
26	truB	2.707275803722504	51.67224927195921	-465.28018364018084	1470	652741605	709119969
27	rsmI	4.009433962264151	67.5279168271082	-390.1613763809287	1470	635684884	663638472
28	gyrB	7.310704960835509	49.29424259857503	-808.4234922618236	1475	2358558828	2373569574
29	clpX	13.577981651376147	77.55546968488233	-343.2423329483769	1472	1544264629	1570704197
30	rpsH	6.569343065693431	95.63278448880416	-114.81708424493807	1478	422714665	430280639
31	secG	0.0	30.068940458774378	-200.72360969967303	1473	136385101	165271858
32	rpsA	1.9889502762430937	56.97578032443707	-646.9109556772579	1441	964802537	993251315
33	pgsA	3.4722222222222223	44.08694842554066	-274.19708652208107	1442	474914572	513058391
34	rpoD	5.877551020408163	46.05559779798656	-737.451881702435	1342	837995992	870744129
35	ftsA	0.1434720229555237	61.627860499753865	-650.3435135811832	1364	689094831	726952390
36	recF	1.8062397372742198	60.309325759610324	-583.0952256325475	1339	576109351	648362549
37	rplI	2.5423728813559325	64.53474941030566	-192.492508508042	1394	328568076	337000775
38	rpsT	0.0	77.2653427746893	-93.97365246779722	1291	178940518	162573315
39	yajC	0.0	38.14820048991897	-191.44236532191948	1464	171517259	199190545
40	uvrB	7.7952755905511815	53.99595629814566	-637.3535312747201	1476	2615736347	2671653215
41	purE	9.649122807017543	72.9258923169994	-167.93060715665203	1450	493033570	471474092
42	rpsO	7.142857142857142	90.62784789152468	-72.7260773176349	1478	308751012	329786935
43	coaD	4.128440366972478	74.27709531954595	-206.260569808284	1475	420384357	448854408
44	gyrA	3.922567498726439	44.74964592588394	-940.1664172320443	1474	3230796277	3319756889
45	rlmB	1.4209591474245116	45.21404909746586	-363.67307491900704	1452	673399280	679198774
46	prfA	8.816120906801007	90.58429748537762	-343.3837404231366	1475	1132855296	1130564312
47	tsaD	5.950095969289827	65.70592706857323	-392.35516610425617	1467	1001225633	1003321264
48	glmU	4.0	79.55940414194018	-547.803463288457	1436	1105407362	1101079603
49	typA	11.218836565096952	84.53451870041485	-519.8992135429959	1471	2102356136	2104508887
50	rsmD	0.9433962264150944	45.967062740745575	-318.7481595492364	1445	387462726	423252854
51	recN	1.9867549668874174	73.87347150961733	-823.0108174828517	1465	1153163682	1252140121
52	ffh	5.562579013906448	59.415966992799426	-491.42877142115174	1472	1428414881	1460249136
53	miaB	5.037037037037037	70.42376986236636	-542.8411288481137	1254	874547367	910186976
54	coaBC	1.7937219730941705	60.69842828207781	-513.7986814476175	1352	926904264	916476670
55	rsmH	3.2305433186490458	47.02493535721126	-416.72894626428433	1472	937109946	974108376
56	rplU	1.9157088122605364	40.05580089156149	-111.7584491267814	1468	430034475	446759358
57	era	2.6936026936026933	51.21774049860888	-375.0434397562642	1474	979752058	1018510151
58	rsfS	0.5847953216374269	35.17305250216366	-200.61232765731748	1446	294270846	319565136
59	mutS	1.4423076923076923	59.37261843302112	-1109.8153927067533	1341	1930286736	2027216480
60	secA	7.015384615384615	54.91857972075511	-987.6889476654579	1471	2842172368	2905482931
